CID,f_activity,FormalCharge,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP,qvina,rfscore_qvina,plants,rfscore_plants
MAT-POS-02ae579f-1,0,0,8,3,1,62.55,216.47976948816049,6.463200000000006,-7.7,7.746907487123988,-93.0745,7.54452036052836
MAT-POS-02ae579f-2,0,0,2,3,3,82.7,115.58124710043785,1.5105,-7.2,6.285344945110446,-80.1747,6.40734162698414
LOR-NOR-f9b26152-1,0,0,1,3,1,55.4,78.67238532528627,0.9691,-5.5,4.929599038739038,-59.7841,5.100658246586746
MAT-POS-af71705c-2,0,0,4,5,2,78.73,174.56154783008373,4.0028000000000015,-8.3,7.213163920745925,-80.6905,7.446773991647242
JOH-UNI-591f77bd-1,0,0,4,5,2,66.84,144.83437982002675,2.5691999999999995,-5.9,6.262380806637805,-75.5715,5.398284107004106
EDJ-MED-0e996074-1,0,0,3,5,1,69.04,121.68324077034487,2.1178,-6.7,6.9097355883560905,-73.9793,7.116272266178258
MAT-POS-3d050446-1,0,0,6,4,2,77.81,148.64645048480557,3.6056800000000018,-6.5,7.214169401265397,-83.7008,6.5996780291375305
LOR-NOR-30067bb9-1,0,0,1,3,1,49.41,93.24213355271709,1.4216,-6.1,5.526923068875562,-68.8458,5.93264644560994
LOR-NOR-30067bb9-2,0,0,3,4,1,72.47,126.45535045726105,2.4868200000000003,-7.4,6.286364335997334,-79.1245,6.624474805805303
LOR-NOR-30067bb9-3,0,0,5,3,0,46.61,132.80706607069428,3.338400000000002,-7.0,6.3019603542568525,-81.623,6.426581883671881
LOR-NOR-30067bb9-5,0,0,4,3,0,46.61,132.80706607069428,3.2567200000000014,-7.0,6.127184905261401,-77.9002,6.271770377955372
LOR-NOR-30067bb9-6,0,0,4,3,0,46.61,136.37134744945394,3.577300000000002,-6.4,6.156683113109112,-75.672,6.257379325230316
LOR-NOR-30067bb9-7,0,0,4,4,0,55.84,147.84983479335742,3.5042200000000028,-6.6,5.97920129004329,-74.4811,6.600449714063719
LOR-NOR-30067bb9-12,0,0,2,3,1,66.48,125.00691864072466,1.8931,-5.9,6.276158800810298,-72.1664,6.73290307908758
MAT-POS-c9973a83-1,0,0,4,3,1,51.22,122.2961095041343,3.233220000000001,-6.3,6.207435467032961,-76.8062,6.500052550560549
COM-UCB-8c7d23dc-15,0,0,3,5,2,87.97,130.57663625714434,2.3717,-7.8,7.252232968364978,-79.6518,7.3113796219336304
COM-UCB-8c7d23dc-18,0,0,2,6,2,105.81,141.05690634483943,2.2719400000000003,-7.5,7.113856055833058,-76.058,7.175761213286709
JAG-UCB-119787ef-1,0,0,3,5,1,69.04,131.98650699722654,2.771200000000001,-6.9,7.237946399711398,-74.0125,7.0729845357975325
BRU-THA-a358fbdd-2,0,0,3,5,1,69.04,128.0481828847415,2.2919,-6.9,6.654312262681764,-76.315,6.941069073926068
BRU-THA-a358fbdd-7,0,0,3,5,1,69.04,125.8487761732711,2.2569,-7.0,6.9716538139083095,-70.4004,7.12697829076478
LON-WEI-0a73fcb8-2,0,0,3,4,0,51.66,139.3436792955005,3.2727000000000017,-6.3,6.7052573621933655,-64.4325,6.859307991841492
LON-WEI-0a73fcb8-3,0,0,2,5,1,68.52000000000001,140.7620756980949,3.026600000000001,-7.5,6.929053736485738,-77.7242,7.037559814907307
LON-WEI-0a73fcb8-4,0,0,4,5,1,69.03999999999999,144.71639122601974,2.7573200000000013,-7.1,6.929840469030969,-72.4609,7.01606054290154
LON-WEI-0a73fcb8-5,0,0,2,3,0,42.43000000000001,138.16845817847866,3.917500000000003,-7.1,6.561453818903319,-77.0376,6.811579918747918
LON-WEI-0a73fcb8-6,0,0,3,4,1,51.22,138.0254679642064,4.424700000000003,-5.9,6.639889395881894,-78.32300000000002,6.8132384315684345
LON-WEI-0a73fcb8-7,1,0,3,4,2,71.45,132.44945421719768,2.7321000000000013,-7.4,6.67794158269508,-73.4504,6.826286764790767
LON-WEI-1908424e-1,0,0,5,5,1,90.06,108.5864635634586,1.1077,-6.3,5.994515039238545,-76.0605,6.386525655344659
LON-WEI-1908424e-3,0,0,3,9,1,102.52,164.22316067706996,1.2077999999999998,-8.5,7.341434334165841,-90.5268,7.534083721611728
LON-WEI-1908424e-4,0,0,4,7,2,107.85,169.25294136824138,2.9106700000000005,-8.2,7.447450012376512,-92.2923,7.462577554723049
LON-WEI-1908424e-6,0,0,9,7,1,100.0,173.584476950165,2.9160000000000013,-6.1,6.139384268065269,-81.7786,7.090087715173711
LON-WEI-1908424e-11,0,0,4,5,1,79.6,168.28490614187768,3.2268000000000017,-8.7,6.997878158896662,-80.4081,7.138113851703857
LON-WEI-1908424e-15,0,0,2,6,2,102.48,114.03257839734287,1.0921199999999998,-6.6,6.845238041181048,-68.7259,6.866521728771236
NAU-LAT-8502cac5-2,0,0,3,5,1,69.04,125.62156488282992,2.3811,-6.8,6.780413418858919,-71.7417,7.038502249028746
NAU-LAT-8502cac5-6,0,0,3,5,1,69.04,142.5896638992334,3.035400000000002,-6.7,6.724825119269626,-74.3985,6.981602518537022
NAU-LAT-8502cac5-8,1,0,3,6,1,93.95,133.19509392262458,1.5127,-6.5,6.38908646181596,-66.4951,6.902798152958153
ADA-UCB-6c2cb422-1,1,0,3,2,1,41.99,127.13434457756941,4.069400000000002,-7.2,6.006206573426577,-79.935,6.30770757792208
ADA-UCB-6c2cb422-3,0,0,3,3,2,54.02,124.1532133066178,2.21692,-6.8,6.7438358583083575,-78.0275,5.877720999278499
IAN-BAS-5394d4c4-1,0,0,6,4,3,91.81,183.63939792955588,4.265400000000001,-8.2,7.434489910117666,-94.2162,7.094034530969036
JAG-UCB-c37fbdcd-1,0,0,4,3,1,65.64,160.46821225357934,3.6323000000000025,-7.8,7.0218534309024285,-80.7597,7.060123161505161
JAN-GHE-c863d918-1,0,0,4,3,2,71.92,122.41012843702974,1.5259799999999992,-7.3,7.0545418126873125,-79.8801,6.765559736874237
VLA-UCB-00f2c2b3-2,0,0,3,3,2,70.67,115.59328243544986,2.44752,-6.5,6.8591915993451025,-78.4324,7.15566978660229
LON-WEI-ff7b210a-2,0,0,4,6,0,94.31,153.6441092844261,3.3704000000000027,-8.1,6.570770333111332,-69.4571,6.629805514929514
LON-WEI-ff7b210a-3,0,0,3,3,1,55.4,127.96916743942964,2.895900000000001,-7.2,6.287139208513705,-69.7113,6.329333479575978
LON-WEI-ff7b210a-4,1,0,5,5,1,89.02,161.7197627290279,3.3766000000000016,-7.3,7.063189247474753,-83.0774,7.318664579365077
LON-WEI-ff7b210a-5,1,0,3,6,0,86.22,97.5341994771953,0.7101999999999999,-5.3,5.874694821789322,-58.2721,5.922243095349095
LON-WEI-ff7b210a-11,0,0,3,4,0,29.43,118.15987962834848,4.012100000000002,-5.6,5.8081883902486275,-73.1492,5.878262001968612
ALP-POS-d2866bdf-1,1,0,6,6,0,54.26000000000001,167.16885435251731,3.792200000000003,-7.2,7.2686128603341125,-83.5572,7.447216941391942
ROD-LAS-d5538ff9-3,0,0,3,3,2,70.14,94.35076007284832,1.4400999999999995,-6.2,6.115038894494402,-66.009,6.1835147855477866
ROD-LAS-d5538ff9-9,0,0,3,5,2,110.05,129.8886221233455,3.1820000000000004,-7.4,7.107327855477857,-67.7684,7.234658999000995
LON-WEI-babf2c61-1,1,0,8,3,1,62.3,210.19154142245682,5.790800000000004,-7.4,7.472430395548898,-94.59,7.516126147186147
LON-WEI-babf2c61-2,1,0,8,3,1,62.3,206.25321730997175,5.445820000000005,-7.2,7.452053867410365,-90.8091,7.457731932900431
LON-WEI-babf2c61-3,1,0,8,4,1,86.09,210.64579699144048,5.009080000000004,-7.5,7.540666749639254,-92.265,7.707090911976918
LON-WEI-babf2c61-4,0,0,8,4,2,82.53,204.68250894777114,4.843000000000004,-7.3,7.542470425491168,-89.8355,7.442179178210674
LON-WEI-babf2c61-5,1,0,8,3,1,62.3,203.5933212880457,5.512100000000004,-7.6,7.579006909090909,-89.1298,7.662146025974032
LON-WEI-babf2c61-6,1,0,8,3,1,62.3,199.6549971755606,5.167120000000004,-7.6,7.447134433122437,-95.1264,7.609707195526697
LON-WEI-babf2c61-7,1,0,8,4,1,86.09,204.04757685702938,4.730380000000004,-8.0,7.395199192307695,-91.8761,7.6922905290820305
LON-WEI-babf2c61-8,0,0,8,4,2,82.53,198.08428881336,4.564300000000004,-7.5,7.2227735959595964,-92.6232,7.50584463791764
LON-WEI-babf2c61-9,1,0,8,3,1,62.3,193.29005506116403,4.858700000000004,-7.6,7.369327495337997,-92.5444,7.4949771293706275
LON-WEI-babf2c61-10,0,0,8,5,1,88.33,191.85360874636777,4.125400000000004,-7.4,7.0710823957708975,-93.0104,7.563842728354982
LON-WEI-babf2c61-11,0,0,8,5,1,88.33,202.15687497324944,4.778800000000004,-7.5,7.30606095887446,-93.649,7.643590314701643
LON-WEI-babf2c61-13,0,0,8,5,1,88.33,198.2185508607644,4.4338200000000025,-7.5,7.732897061244309,-93.4028,7.617646731007555
JAG-UCB-4709a583-1,0,0,3,6,1,75.42,136.4624767168117,1.9951,-7.4,7.027694558941063,-68.453,5.667233812576315
DAR-DIA-8e329c92-9,0,0,4,2,2,61.96,150.03920709686332,3.6538000000000017,-8.5,6.7534064190254215,-81.1663,6.795490791541799
JAG-UCB-ef2c0e8e-2,0,0,2,2,2,58.2,101.54059871089576,1.6662,-6.5,5.0878386810966765,-69.5694,5.498195567821068
JAG-UCB-ef2c0e8e-7,0,0,3,5,3,104.7,120.91416997808363,0.8438999999999994,-7.1,5.476763547563554,-77.7587,6.004486781440788
